Date,Type_Organisme,Manquement,Sanction
09/01/2024,EDITEUR DE SITE WEB - ANNUAIRE INVERSE (procédure simplifiée),Défaut de coopération avec  la CNILNon respect du droit d'accèsNon respect du droit d'opposition,Amende administrative de 1 500 euros
15/01/2024,AVOCAT (procédure simplifiée),Défaut de coopération avec  la CNILNon respect du droit à l'effacement,Amende administrative de 5 000 euros
22/01/2024,AVOCAT (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende administrative de 500 euros
24/01/2024,ACTIVITE DE COMMERCE DE GROS PHARMACEUTIQUES (procédure simplifiée),Défaut de sécurité des donnéesDéfaut de coopération avec  la CNILRegistre des activités de traitementObligation de recourir à des sous-traitants présentant des garanties suffisantes recrutés après autorisation duresponsable de traitement,Amende administrative de 20 000 euros
25/01/2024,ASSOCIATION A CARACTERE POLITIQUE (procédure simplifiée),Information des personnes et transparence (prospection politique),Amende administrative de 20 000 euros
31/01/2024,EDITEUR DE SITE WEB PROPOSANT AUX PARTICULIERS DE PUBLIER OU CONSULTER DES ANNONCES IMMOBILIERES ET AUTRES SERVICES,Défaut de sécurité des donnéesEncadrement des relations entre le responsable de traitement et lesous-traitantInformation des personnes et transparenceDurée de conservation,Amende administrative de 100 000 euros
31/01/2024,PARTICULIER  (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende administrative de 500 euros
31/01/2024,CHIRURGIEN DENTISTE  (procédure simplifiée),Défaut de sécurité des donnéesNon respect du droit d'accès (données de santé),Amende administrative de 5 000 euros
31/01/2024,EDITEUR DE SITE WEB - ACTUALITES DANS LE DOMAINE DES NOUVELLES TECHNOLOGIES  (procédure simplifiée),Défaut de sécurité des données,Amende administrative de 20 000 euros
31/01/2024,SOCIETE AYANT POUR ACTIVITE LA COMMERCIALISATION ET GESTION DE PROGRAMMES ET CARTES DE FIDELITE,Obligation de traiter les données de façon licite (prospection commerciale par téléphone),Amende administrative de 310 000 euros
31/01/2024,SOCIETE AYANT POUR ACTIVITE LE SOUTIEN AUX ENTREPRISES  (procédure simplifiée),Défaut de sécurité des données,Amende administrative de 10 000 euros
29/02/2024,SOCIETE AYANT POUR ACTIVITE LA RECHERCHE ET LE DEVELOPPEMENT SCIENTIFIQUE (procédure simplifiée),Obligation de traiter les données de façon licite,Amende administrative de 10 000 euros
29/02/2024,CHIRURGIEN DENTISTE  (procédure simplifiée),Défaut de coopération avec la CNILNon respect du droit d'accès (données de santé),Amende administrative de 4 000 euros
04/04/2024,COMMERCE DE DETAIL DE MATERIEL DE TELECOMMUNICATION,Consentement des personnes (prospection commerciale par voie électronique  - L. 34-5 CPCE)Défaut debase légaleInformation des personnes (art. 14) et transparence,Amende administrative de 525 000 euros
04/04/2024,SOCIETE AYANT POUR ACTIVITE LA PROSPECTION COMMERCIALE PAR COURRIEL POUR LE COMPTE D'ANNONCEURS,Absence de réponse à l'injonction,Liquidation d'astreinte de 25 000 euros
25/04/2024,SOCIETE EXPLOITANT DES MAGASINS DE CHAUSSURES ET D'HABILLEMENT DE SPORT (procédure simplifiée),Information des personnes et consentement (cookies),Amende administrative de 15 000 euros
25/04/2024,ASSOCIATION PARTICIPANT AUX ACTIVITES DES ORGANISATIONS POLITIQUES (procédure simplifiée),Défaut de base légale,Amende administrative de 16 000 euros et injonction
25/04/2024,REVUE LITTERAIRE FRANCAISE (procédure simplifiée),Conformité tardive en matière de demande d'effacement (procédure d'injonction),Liquidation d'astreinte de 3 000 euros
23/05/2024,ETABLISSEMENT PUBLIC NATIONAL (ENSEIGNEMENT) (procédure simplifiée),Minimisationdes donnéesInformation des personnes et transparence,Amende administrative de 6 000 euros
23/05/2024,SOCIETE AYANT POUR ACTIVITE LE COMMERCE DE DETAIL OPTIQUE (procédure simplifiée),Réponse tardive à unemise en demeure(procédure d'injonction),Liquidation d'astreinte de 4 000 euros
23/05/2024,SOCIETE GERANT UNE PLATEFORME D'APPELS POUR LE SECRETARIAT DE PROFESSIONNELS (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparenceDéfaut de sécurité des données,Amende administrative de 15 000 euros
23/05/2024,SOCIETE GERANT UNE PLATEFORME D'APPELS POUR LE SECRETARIAT DE PROFESSIONNELS (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparenceDéfaut de sécurité des données,Amende administrative de 10 000 euros
10/06/2024,BOULANGERIE (procédure simplifiée),Information des personnesObligation de traiter les données de façon licite (vidéosurveillance)Minimisation des données (vidéosurveillance),Amende administrative de 5 000 euros
10/06/2024,SOCIETE DIFFUSANT DES CONTENUS JOURNALISTIQUES  (procédure simplifiée),Information des personnes et consentement (cookies),Amende administrative de 3 000 euros et injonction
10/06/2024,MEDECIN GENERALISTE (procédure simplifiée),Non respect du droit d'accès (dossier médical)Défaut de coopération avec la CNIL,Amende administrative de 4 000 euros et injonction
27/06/2024,SOCIETE SPECIALISEE EN GESTION IMMOBILIERE ET EN EXPLOITATION COMMERCIALE SOCIETE DIFFUSANT DES CONTENUS JOURNALISTIQUES  (procédure simplifiée),Information des personnes et consentement (cookies),Amende administrative de 12 000 euros
09/07/2024,MINISTERE,Durée de conservationObligation de traiter les données de façon licite,Rappel à l'ordre et injonction
22/07/2024,COMMUNE,Absence de réponse à l'injonction et non-conformité (procédure d'injonction),Liquidation d'astreinte de 6 900 euros
25/07/2024,ETABLISSEMENT D'ENSEIGNEMENT SUPERIEUR PRIVE (procédure simplifiée),Minimisation des donnéesDurée de conservationDéfaut de sécurité des données,Amende administrative de 20 000 euros
08/08/2024,SOCIETE DE COURTAGE EN ENERGIE (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparence (prospection commerciale)Registre des activités de traitement,Amende administrative de 20 000 euros et injonction
20/08/2024,HEBERGEUR DE SITE WEB (procédure simplifiée),Non respect du droit à l'effacementDéfaut de coopération avec la CNIL,Amende administrative de 8 000 euros
28/08/2024,SOCIETE SPECIALISEE DANS LA REALISATION D'ETUDES STATISTIQUES EN MATIERE DE DONNEES DE SANTE,Absence de demande d'autorisation auprès de la CNIL (entrepôts de données de santé),Amende administrative de 800 000 euros
28/08/2024,SOCIETE SPECIALISEE DANS LA GESTION DES FLUX DE DONNEES DE SANTE,Absence de demande d'autorisation auprès de la CNIL (entrepôts de données de santé),Amende administrative de 200 000 euros
29/08/2024,EDITEUR DE SITE WEB DANS LE DOMAINE DES TRANSPORTS,Obligation de réaliser une analyse d'impactInformation des personnes et consentementObligation de traiter les données de façon licite,Amende administrative de 300 000 euros
05/09/2024,SOCIETE AYANT POUR ACTIVITE LE COMMERCE DE DETAIL D'HABILLEMENT (procédure simplifiée),Obligation de traiter les données de façon liciteMinimisation des donnéesInformation des personnes et transparence (vidéosurveillance)Défaut de coopération avec la CNIL,Amende administrative de 15 000 euros
05/09/2024,SOCIETE SPECIALISEE DANS LAFABRICATION ET POSE DE CLOTURES  (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec la CNIL,Amende administrative de 10 000 euros et injonction
05/09/2024,SOCIETE SPECIALISEE DANS L’EDITION ET LA VENTE DE LOGICIELS DE GESTION AUX MEDECINS,Absence de demande d'autorisation auprès de la CNIL (entrepôts de données de santé)Obligation de traiter les données de façon licite,Amende administrative de 800 000 euros
12/09/2024,SOCIETE EXPLOITANT UN CASINO ET UN HOTEL (procédure simplifiée),Information des personnes et transparence (vidéosurveillance)Non respect du droit d'accès,Amende administrative de 12 000 euros
13/09/2024,COMMUNE  (procédure simplifiée),Obligation de traiter les données de façon liciteDurée de conservationRegistre des activités de traitementObligation de désigner un délégué à la protection des donnéesDéfaut de coopération avec la CNIL,Amende administrative de 20 000 euros et injonction
19/09/2024,ARMURERIE VENDANT SES ARTICLES EN LIGNE ET EN MAGASIN  (procédure simplifiée),Durée de conservationInformation des personnes et transparenceNon respect du droit d'effacementDéfaut de sécurité des donnéesObligation de documenter uneviolation de données,Amende administrative de 20 000 euros et injonction
26/09/2024,"SOCIETE PROPOSANT DES SERVICES DE CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES, L'EDITION ET LA REALISATION DE LOGICIELS  (procédure simplifiée)",Défaut de coopération avec la CNILNon respect du droit d'effacement,Amende administrative de 15 000 euros et injonction
26/09/2024,ORGANISME DE FORMATION DESTINE AUX PROFESSIONNELS DE SANTE (procédure simplifiée),Information des personnes et consentement (cookies)Non respect du droit d'effacementEncadrement des relations entre le responsable de traitement et le sous-traitantDéfaut de sécurité des données,Amende administrative de 15 000 euros et injonction
26/09/2024,SOCIETE PROPOSANT DES SERVICES A DISTANCE D'ART DIVINATOIRE,Consentement des personnes (prospection commerciale par voie électronique  - L. 34-5 CPCE)Consentement des personnes (catégories spéciales de données)Durée de conservationMinimisation des données,Amende administrative de 250 000 euros
26/09/2024,SOCIETE AYANT POUR ACTIVITE LE DEVELOPPEMENT ET LA FOURNITURE DE SERVICES INFORMATIQUES ET NUMERIQUES,Consentement des personnes (prospection commerciale par voie électronique  - L. 34-5 CPCE)Consentement des personnes (catégories spéciales de données)Durée de conservation,Amende administrative de 150 000 euros
26/09/2024,SOCIETE DE MARKETING (procédure simplifiée),Absence de réponse à l'injonction et non-conformité (procédure d'injonction),Liquidation astreinte de 3 000 euros
30/09/2024,ASSOCIATION AYANT POUR OBJET LA CREATION D'UN RESEAU DE SANTE PSYCHIATRIQUE  (procédure simplifiée),Défaut de coopération avec la CNILNon respect du droit d'accès,Amende administrative de 3 000 euros
10/10/2024,SOCIETE COMMERCIALISANT DES PORTEFEUILLES DE CRYPTOMONNAIE,Défaut de sécurité des donnéesDurée de conservation,Amende administrative de 750 000 euros
11/10/2024,ORTHOPHONISTE (procédure simplifiée),Absence de réponse à l'injonction et non conformité (procédure d'injonction),Liquidation d'astreinte de 4 000 euros
17/10/2024,MINISTERE,Obligation de traiter des données exactesInformation des personnesNon respect du droit d'accèsNon respect dudroit de rectificationNon respect du droit d'effacement,Rappel à l'ordre et injonction
17/10/2024,MINISTERE,Obligation de traiter des données exactesInformation des personnesNon respect du droit d'accèsNon respect du droit de rectificationNon respect du droit d'effacement,Rappel à l'ordre et injonction
17/10/2024,SOCIETE AYANT POUR ACTIVITE LA FOURNITURE DE PRESTATIONS DE SERVICE (GESTION APPELS TELEPHONIQUES) (procédure simplifiée),Information des personnes (vidéosurveillanceet enregistrements téléphoniques)Non respect du droit d'oppositionDéfaut de sécurité des données,Amende administrative de 20 000 euros
17/10/2024,CHIRURGIEN DENTISTE (procédure simplifiée),Non respect du droit d'accès (dossier médical)Défaut de coopération avec la CNIL,Amende administrative  3 000 euros et injonction
23/10/2024,ASSOCIATION PARTICIPANT AUX ACTIVITES DES ORGANISATIONS POLITIQUES (procédure simplifiée),Absence de réponse à l'injonction et non conformité (procédure d'injonction),Liquidation d'astreinte de 4 000 euros
14/11/2024,OPERATEUR DE TELECOMMUNICATIONS,Information des personnes (cookies)Prospection commerciale (article L. 34-5 CPCE),Amende administrative de 50 millions d'euros et injonction
26/11/2024,SOCIETE DE GESTION D'INSTALLATIONS INFORMATIQUES (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 15 000 euros
26/11/2024,ASSOCIATION AYANT POUR ACTIVITE L'ACTION SOCIALE SANS HEBERGEMENT ET LA GESTION D'ETABLISSEMENTS MEDICO-SOCIAUX ET SANITAIRES (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec la CNIL,Amende administrative de 10 000 euros
05/12/2024,SOCIETE OFFRANT DES PRESTATIONS DE SECURITE PRIVE (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparenceRegistre des activités de traitement,Amende administrative de 20 000 euros et injonction
05/12/2024,SOCIETE SPECIALISEE DANS L'ELABORATION ET ORGANISATION DE CAMPAGNES PUBLICITAIRES (procédure simplifiée),Prospection commerciale (article L. 34-5 CPCE)Durée de conservationInformation des personnes et transparence,Amende administrative de 20 000 euros
05/12/2024,SOCIETE VENDANT DES PRODUITS COSMETIQUES  (procédure simplifiée),Obligation de traiter les données de façon licite (vidéoprotection)Limitation des finalités (vidéoprotection)Minimisation des données (vidéosurveillance)Information des personnes,Amende administrative de 3 000 euros
05/12/2024,CLINIQUE  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 15 000 euros
05/12/2024,SOCIETE DEVELOPPANT ET COMMERCIALISANT UNE EXTENSION POUR NAVIGATEUR,Défaut de base légaleDurée de conservationInformation des personnes et transparenceNon respect du droit d'accès,Amende administrative de 240 000 euros et injonction
12/12/2024,AGENCE DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE  (procédure simplifiée),Transparence et information (exercice des droits)Non respect du droit d'accès,Amende administrative de 6 000 euros
12/12/2024,SOCIETE DE VENTE AU DETAIL (procédure simplifiée),Non respect du droit d'accès,Amende administrative de 18 000 euros
12/12/2024,SOCIETE EXERCANT UNE ACTIVITE DE COMPARATEUR D'AUTO-ECOLES (procédure simplifiée),Transparence et information (exercice des droits)Non respect du droit d'accès,Amende administrative de 10 000 euros
12/12/2024,DEUX SOCIETES EXERCANT DES ACTIVITES D'AGENCES DE PRESSE (procédure simplifiée),Consentement des personnes (cookies),Amendes administratives de 5 000 et 5 000 euros
12/12/2024,SOCIETE DE COMMERCE DE DETAIL D'HABILLEMENT (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 5 000 euros
12/12/2024,SOCIETE DE COMMERCE DE DETAIL D'HABILLEMENT (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 3 000 euros
12/12/2024,SOCIETE DE COMMERCE DE DETAIL D'HABILLEMENT (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 20 000 euros
12/12/2024,SOCIETE DE COMMERCE DE DETAIL D'HABILLEMENT (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 10 000 euros
12/12/2024,SOCIETE EDITANT DES LOGICIELS OUTILS DE DEVELOPPEMENT ET DE LANGAGES (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 20 000 euros et injonction
12/12/2024,SOCIETE EXPLOITANT DES PORTAILS INTERNET (procédure simplifiée),Consentement des personnes (cookies),Amende administrative de 20 000 euros et injonction
19/12/2024,ETABLISSEMENT PUBLIC ADMINISTRATIF (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec la CNIL,Rappel à l'ordre
19/12/2024,CENTRE D'APPEL  (procédure simplifiée),Obligation de traiter les données de façon licite  et transparenteDéfaut de sécurité des donnéesDéfaut de coopération avec la CNIL,Amende administrative de 20 000 euros
19/12/2024,"SOCIETE ASSURANT DES ACTIVITES DE SECURITE PRIVE, PROTECTION RAPPROCHEE, HOTESSARIAT ET GESTION LOGISTIQUE (procédure simplifiée)",Défaut de coopération avec la CNIL,Amende administrative de 8 000 euros
19/12/2024,STOMATOLOGUE  (procédure simplifiée),Non respect du droit d'accès (dossier médical)Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,SOCIETE EDITANT UN SITE DE JEUX DEMATERIALISES  (procédure simplifiée),Non respect du droit d'accès,Amende administrative de 15 000 euros
19/12/2024,SOCIETE GERANT UNE SALLE DE SPORT (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 3 000 euros
19/12/2024,SOCIETE SPECIALISEE DANS LE SECTEUR D'ACTIVITE DES PORTAILS INTERNET  (procédure simplifiée),Non respect du droit d'oppositionDéfaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,SOCIETE DE CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES  (procédure simplifiée),Non respect du droit d'accès,Amende administrative de 8 000 euros
19/12/2024,SOCIETE EXERCANT UNE ACTIVITE D'AGENCE IMMOBILIERE,Minimisation des données (vidéosurveillance)Obligation de traiter les données de façon licite (vidéosurveillance)Information des personnesDéfaut de sécurité des donnéesObligation de réaliser une analyse d'impact,Amende administrative de 40 000 euros
19/12/2024,ACCES AUX SOINS  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,GROUPEMENT REGIONAL D'APPUI AU DEVELOPPEMENT DE LA E-SANTE (procédure simplifiée),Obligations en matière de traitements de données dans le domaine de la santéEncadrement des relations entre le responsable de traitement et le sous-traitant,Amende administrative de 20 000 euros
19/12/2024,MEDECIN GENERALISTE (procédure simplifiée),Absence de réponse à l'injonction  (procédure d'injonction),Liquidation d'astreinte de 2 000 euros
26/12/2024,SOCIETE EXPLOITANT DES SUPERMARCHES (procédure simplifiée),Minimisation des donnéesRegistre des activités de traitementObligation de réaliser une analyse d'impact,Amende administrative de 18 000 euros
31/12/2024,SOCIETE DE TRANSPORT AMBULANCIER  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 10 000 euros
31/12/2024,PARTICULIERS  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
31/12/2024,SOCIETE GERANT UN ROBOT CONVERSATIONNEL UTILISANT L'INTELLIGENCE ARTIFICELLE   (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
23/01/2023,SOCIETE DE CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES (procédure simplifiée),Défaut de coopération avec  la CNILConsentement des personnes (cookies)Information des personnesNon respect du droit à l'effacementRegistre des activités de traitementDéfaut de sécurité des données,Amende de 5 000 euros et injonction
08/02/2023,COMMUNE (procédure simplifiée),Obligation de désigner un délégué à la protection des donnéesDéfaut de coopération avec  la CNIL,Amende de 5 000 euros et injonction
08/02/2023,MEDECIN GENERALISTE  (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec  la CNIL,Amende de 3 000 euros et injonction
08/02/2023,SOCIETE EXERCANT UNE ACTIVITE DE DETAIL D'HABILLEMENT EN MAGASIN SPECIALISE  (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 10 000 euros et injonction
03/03/2023,SOCIETE EXERCANT UNE ACTIVITE DE SECURITE PRIVEE  (procédure simplifiée),Non respect du principe deminimisationdes donnéesInformation des personnesRegistre des activités de traitement,Amende de 15 000 euros
16/03/2023,SOCIETE DE LOCATION DE SCOOTERS ELECTRIQUES EN LIBRE-SERVICE,Non respect du principe de minimisation des donnéesInformation des personnesEncadrement des relations entre leresponsable de traitementet lesous-traitant,Amende de 125 000 euros
28/03/2023,SOCIETE DE PROGRAMMATION INFORMATIQUE  (procédure simplifiée),Encadrement des relations entre le responsable de traitement et le sous-traitantDéfaut de sécurité des données,Amende de 20 000 euros
28/03/2023,SOCIETE DE MARKETING  (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 10 000 euros et injonction
17/04/2023,SOCIETE D'AIDE A DOMICILE POUR LES PERSONNES AGEES ET HANDICAPEES,Conformité tardive en matière d'anonymisation des données (procédure d'injonction),Liquidation de l'astreinte de 10 000 euros
17/04/2023,SOCIETE DEVELOPPANT UN LOGICIEL DERECONNAISSANCE FACIALE,Absence de réponse à l'injonction,Liquidation de l'astreinte de 5 200 000 euros
